Property1,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
95.5,0.2,0.2,0,-17.44,1987.094,256,4.2,1750.73754,0.635430645,-0.011416196,0.101812555,1987.094,0.16,2750,5.446519663,0.071441968,134,-14.68590108,10,0.298241624
200.5,0.2,0.2,0,-17.44,1987.094,256,4.2,1750.73754,0.3698632,-0.011416196,0.101812555,1987.094,0.16,2750,5.446519663,0.071441968,134,-15.07934782,10,0.359374738
233.2,0.243902439,0.243902439,0,-16.51397977,1956.163415,250.7317073,4.243902439,1240.241473,0.893005622,-0.036519034,0.076801145,1956.163415,0.1189768,2750,5.019978793,0.033123187,110.7317073,-14.78959038,10,0.184213975
156.4,0.243902439,0.243902439,0,-16.51397977,1956.163415,250.7317073,4.243902439,1240.241473,0.161351751,-0.036519034,0.076801145,1956.163415,0.1189768,2750,5.019978793,0.033123187,110.7317073,-15.54489389,10,0.496191365
176.3,0.243902439,0.243902439,0,-16.51397977,1956.163415,250.7317073,4.243902439,1240.241473,0.910033602,-0.036519034,0.076801145,1956.163415,0.1189768,2750,5.019978793,0.033123187,110.7317073,-14.72319816,10,0.546238791
243.8,0.235294118,0.235294118,0,-16.83044983,1962.228235,251.7647059,4.235294118,1248.45847,0.006567904,-0.031596909,0.081705343,1962.228235,0.110726644,2750,5.198233238,0.044531055,115.2941176,-15.50719442,10,0.257922985
153.3,0.235294118,0.235294118,0,-16.83044983,1962.228235,251.7647059,4.235294118,1248.45847,0.034945935,-0.031596909,0.081705343,1962.228235,0.110726644,2750,5.198233238,0.044531055,115.2941176,-14.68383332,10,0.648125762
190.9,0.235294118,0.235294118,0,-16.83044983,1962.228235,251.7647059,4.235294118,1248.45847,0.077187624,-0.031596909,0.081705343,1962.228235,0.110726644,2750,5.198233238,0.044531055,115.2941176,-15.46259351,10,0.945723286
262.9,0.222222222,0.222222222,0,-17.18518519,1971.437778,253.3333333,4.222222222,1367.728667,0.498685205,-0.02412257,0.089152459,1971.437778,0.098765432,2750,5.372308617,0.056901923,122.2222222,-14.93667763,10,0.260843565
119.5,0.222222222,0.222222222,0,-17.18518519,1971.437778,253.3333333,4.222222222,1367.728667,0.961870715,-0.02412257,0.089152459,1971.437778,0.098765432,2750,5.372308617,0.056901923,122.2222222,-15.08328996,10,0.734278515
200.9,0.222222222,0.222222222,0,-17.18518519,1971.437778,253.3333333,4.222222222,1367.728667,0.958267645,-0.02412257,0.089152459,1971.437778,0.098765432,2750,5.372308617,0.056901923,122.2222222,-14.73730264,10,0.935698946
262.6,0.181818182,0.181818182,0,-17.32231405,1999.903636,258.1818182,4.181818182,2120.372586,0.947779833,-0.001020071,0.112170816,1999.903636,0.198347107,2750,5.396156947,0.079750111,143.6363636,-14.70819819,10,0.06410424
30.8,0.181818182,0.181818182,0,-17.32231405,1999.903636,258.1818182,4.181818182,2120.372586,0.272921824,-0.001020071,0.112170816,1999.903636,0.198347107,2750,5.396156947,0.079750111,143.6363636,-15.16036831,10,0.294626518
204.4,0.181818182,0.181818182,0,-17.32231405,1999.903636,258.1818182,4.181818182,2120.372586,0.958502169,-0.001020071,0.112170816,1999.903636,0.198347107,2750,5.396156947,0.079750111,143.6363636,-14.68829159,10,0.381978459
151.5,0.243902439,0,0.12195122,-10.63652588,2415.195122,324.3902439,6.195121951,1820.781547,0.695689853,0.003531761,0,2415.195122,0.237953599,3823,3.864673441,0.189737741,194.0365854,-14.70685853,5.5,0.143260451
156.2,0.23255814,0,0.11627907,-28.57760952,2480.674419,323.255814,6.093023256,3162.183619,0.163108938,-0.02901336,0,2480.674419,0.216333153,3823,5.672871483,0.220269066,185.2674419,-14.90718937,5.5,0.081769083
149.4,0.25,0,0.125,-0.25,2380,325,6.25,1691.419547,0.942614832,0.021024763,0,2380,0.25,2896,3.619718704,0.167089301,198.75,-15.04121941,100,0.048592228
176.9,0.2,0,0,-4,2301,392,7.4,3376.891773,0.885432765,0.006295917,0,2301,0.16,2750,4.303546291,0.097575068,206,-15.1325896,100,0.55638644
172.4,0.2,0,0,-4,2301,392,7.4,3376.891773,0.463574095,0.006295917,0,2301,0.16,2750,4.303546291,0.097575068,206,-15.3132752,100,0.733801044
167,0.2,0,0,-4,2301,392,7.4,3376.891773,0.325743459,0.006295917,0,2301,0.16,2750,4.303546291,0.097575068,206,-15.51748911,100,0.844498399
161.3,0.2,0,0,-4,2301,392,7.4,3376.891773,0.033613501,0.006295917,0,2301,0.16,2750,4.303546291,0.097575068,206,-15.59405764,100,0.32925772
